node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
43440388,7145,6470,37.8880208,-122.596603,37.398,321.76,1925.8,2430.0,6.5143,82.016,1310,40,325.63,4521
43442065,7146,6469,37.8879939,-122.596638,37.047,321.14,1921.5,2466.0,6.5143,82.016,1310,40,323.35,4521
43443742,7147,6469,37.8879669,-122.596638,36.801,320.59,1918.5,2502.0,6.5143,82.016,1310,40,321.75,4521
43445417,7148,6468,37.8879399,-122.596672,36.454,319.51,1914.3,2646.0,6.5143,82.016,1310,40,319.49,4521
43447093,7149,6468,37.8879129,-122.596672,36.213,318.83,1911.3,7092.0,6.5143,82.016,1310,40,317.92,4521
43448767,7150,6467,37.887886,-122.596707,35.965,318.64,1907.1,7578.0,6.5143,82.016,1310,40,316.3,4521
43450441,7151,6467,37.8878589,-122.596707,35.793,318.3,1904.1,7596.0,6.5143,82.016,1310,40,315.18,4521
43452114,7152,6466,37.887832,-122.596741,35.549,317.3,1899.8,7713.0,6.5143,82.016,1310,40,313.6,4521
43453786,7153,6465,37.8878051,-122.596775,35.308,315.96,1895.6,7740.0,6.5143,82.016,1310,40,312.02,4521
43455458,7154,6465,37.8877781,-122.596775,35.137,314.57,1892.6,7974.0,6.5143,82.016,1310,40,310.91,4521
43457128,7155,6465,37.887751,-122.596775,34.967,311.68,1889.6,8001.0,6.5143,82.016,1310,40,309.8,4521
43458798,7156,6465,37.887724,-122.596776,34.798,309.02,1886.6,13977.0,6.5143,82.016,1310,40,308.7,4521
43460465,7157,6465,37.8876969,-122.596776,34.657,307.84,1883.6,14391.0,6.5143,82.016,1310,40,307.78,4521
43462132,7158,6465,37.8876699,-122.596776,34.517,305.6,1880.6,14616.0,6.5143,82.016,1310,40,306.87,4521
43463799,7159,6465,37.8876429,-122.596776,34.377,304.06,1877.6,17235.0,6.5143,82.016,1310,40,305.96,4521
43465465,7160,6465,37.8876158,-122.596776,34.245,303.06,1874.6,20340.0,6.5143,82.016,1310,40,305.1,4521
43467131,7161,6465,37.8875888,-122.596776,34.12,302.8,1871.6,20502.0,6.5143,82.016,1310,40,304.28,4521
43468796,7162,6465,37.8875617,-122.596777,33.994,302.2,1868.6,20565.0,6.5143,82.016,1310,40,303.47,4521
43470459,7163,6465,37.8875347,-122.596777,33.869,302.02,1865.6,20700.0,6.5143,82.016,1310,40,302.65,4521
43472122,7164,6465,37.8875077,-122.596777,33.745,302.02,1862.6,20880.0,6.5143,82.016,1310,40,301.84,4521
43473780,7165,6465,37.8874806,-122.596777,33.62,301.77,1859.6,20889.0,6.5143,82.016,1310,40,301.03,4521
