X,Y,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist
518724,4168960.0,575,888,3,-0.0445615,0.149815,26.6691,178.014,1990,631,872,32,0.102775,0,75,19.8314,0.187268,173.436
518726,4168960.0,575,889,3,-0.0334956,0.150674,26.1349,173.453,1990,630,873,32,0.0580075,0,70,14.5247,0.188343,170.74
518730,4168960.0,575,890,3,-0.0198234,0.1506,26.1463,173.614,1990,630,873,32,0.0266189,0,71,8.60403,0.18825,171.562
518732,4168960.0,575,891,3,-0.0118678,0.150143,26.1396,174.098,1990,630,873,32,0.0142294,0,72,5.16541,0.187679,172.421
518736,4168960.0,575,892,3,-0.00342883,0.149311,26.1093,174.865,1990,630,873,32,0.0208723,0,73,1.49895,0.186639,173.368
518748,4168960.0,575,896,3,-3.87374e-05,0.145843,26.6507,182.735,1990,630,873,32,0.0729196,0,77,0.0176967,0.182304,177.673
518750,4168960.0,575,897,3,-0.0138668,0.144794,26.9059,185.821,1990,630,873,32,0.0769,0,78,6.44188,0.180993,178.869
518754,4168960.0,575,898,3,-0.0244141,0.143273,27.1497,189.496,1990,630,873,32,0.0696903,0,79,11.566,0.179091,180.112
518720,4168970.0,576,887,3,-0.0127282,0.146933,25.9256,176.445,1990,631,872,32,0.202714,0,73,5.61454,0.183667,169.912
518724,4168970.0,576,888,3,-0.0169788,0.150536,26.2,174.045,1990,631,872,32,0.172005,0,70,7.38769,0.18817,170.556
518754,4168970.0,576,898,3,-0.0160524,0.148322,27.0993,182.706,1990,630,873,32,0.0717039,0,78,7.33219,0.185403,177.336
518756,4168970.0,576,899,3,-0.0159871,0.148167,27.2756,184.087,1990,630,873,32,0.0577755,0,79,7.3575,0.185209,178.618
518760,4168970.0,576,900,3,-0.0146786,0.147771,27.3955,185.392,1990,630,873,32,0.039682,0,80,6.80325,0.184714,179.94
518762,4168970.0,576,901,3,-0.0181951,0.145567,27.4852,188.815,1990,630,873,32,0.0267592,0,81,8.58876,0.181959,181.318
518718,4168970.0,577,886,3,-0.0128129,0.143849,25.0163,173.907,1990,631,872,32,0.244628,0,69,5.57061,0.179811,166.276
518720,4168970.0,577,887,3,-0.0120334,0.147725,25.3509,171.608,1990,631,872,32,0.222768,0,68,5.16257,0.184656,166.922
518766,4168970.0,577,902,3,-0.0112457,0.148405,27.094,182.569,1990,629,874,32,0.0195422,0,79,5.13278,0.185506,176.552
518718,4168970.0,578,886,3,-0.00386201,0.144441,24.4118,169.009,1990,631,872,32,0.238503,0,68,1.63179,0.180551,163.296
518766,4168970.0,578,902,3,-0.00829234,0.150008,27.0457,180.296,1990,629,874,32,0.0348831,0,78,3.73768,0.18751,173.924
518768,4168970.0,578,903,3,-0.00531608,0.148264,27.1126,182.867,1990,629,874,32,0.0176055,0,79,2.43034,0.185331,175.414
518768,4168980.0,579,903,3,-0.0072616,0.149952,27.0854,180.627,1990,629,874,32,0.0319356,0,78,3.27911,0.18744,172.819
518772,4168980.0,579,904,3,-0.00812433,0.148277,27.1838,183.331,1990,629,874,32,0.0203778,0,79,3.72361,0.185346,174.37
518708,4168980.0,580,883,3,-0.000802003,0.135816,22.6628,166.863,1990,632,871,32,0.185191,0,67,0.334562,0.169771,158.916
518712,4168980.0,580,884,3,-0.000734378,0.139226,22.5535,161.992,1990,631,872,32,0.194741,0,66,0.297409,0.174032,156.017
518772,4168980.0,580,904,3,-0.00653102,0.151935,27.1671,178.808,1990,629,874,32,0.0244504,0,78,2.9195,0.189918,171.782
518774,4168980.0,580,905,3,-0.00554555,0.151839,27.187,179.051,1990,629,874,32,0.0195561,0,79,2.48234,0.189799,173.351
518778,4168980.0,580,906,3,-0.0038272,0.152672,27.2159,178.264,1990,629,874,32,0.01532,0,80,1.70564,0.19084,174.74
518780,4168980.0,580,907,3,-0.00646104,0.152143,26.7337,175.714,1990,628,875,32,0.00732596,0,79,2.83825,0.190178,172.616
518810,4168980.0,580,917,3,-0.00466214,0.132699,24.2149,182.48,1990,624,879,32,0.00202405,0,81,2.12687,0.165874,174.142
518814,4168980.0,580,918,3,-0.00339215,0.131914,24.2431,183.78,1990,624,879,32,0.00129298,0,84,1.55852,0.164893,176.085
518820,4168980.0,580,920,3,-0.00195035,0.130508,24.2417,185.749,1990,624,879,32,0.00796261,0,84,0.905685,0.163135,180.084
518828,4168980.0,580,923,3,-0.0047152,0.127841,24.3555,190.515,1990,624,879,32,0.0245729,0,87,2.24579,0.159801,186.331
518706,4168980.0,581,882,3,-0.0038634,0.134756,21.9415,162.824,1990,632,871,32,0.168058,0,63,1.57263,0.168445,155.326
518708,4168980.0,581,883,3,-0.00143304,0.137539,21.7726,158.301,1990,631,872,32,0.174228,0,64,0.567131,0.171924,152.403
518784,4168980.0,581,908,3,-0.00167501,0.152114,26.6801,175.396,1990,628,875,32,0.00586368,0,79,0.734476,0.190142,171.279
518796,4168980.0,581,912,3,-0.00608817,0.135643,24.9643,184.043,1990,625,878,32,0.0205345,0,81,2.80122,0.169554,166.099
518804,4168980.0,581,915,3,-0.00362004,0.137763,24.8883,180.66,1990,625,878,32,0.0121485,0,82,1.63499,0.172203,171.776
518808,4168980.0,581,916,3,-0.00561045,0.135593,24.1919,178.415,1990,624,879,32,0.0127571,0,79,2.50248,0.169491,169.975
518814,4168980.0,581,918,3,-0.00661418,0.134216,24.2255,180.496,1990,624,879,32,0.0152982,0,81,2.98459,0.16777,173.868
518816,4168980.0,581,919,3,-0.00251533,0.133185,24.19,181.627,1990,624,879,32,0.0115606,0,82,1.14213,0.166481,175.868
