node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
26094829,3685,3171,37.9819064,-122.708787,164.44,426.02,23584.0,180.0,4.342,-279.59,460,19,434.39,1583
26094828,3685,3170,37.9819065,-122.708822,163.87,425.58,23581.0,189.0,4.342,-279.59,460,19,431.92,1583
26101553,3686,3169,37.9818796,-122.708856,163.07,425.0,23577.0,315.0,4.342,-279.59,460,19,428.48,1583
26101552,3686,3168,37.9818796,-122.70889,162.6,424.72,23574.0,5382.0,4.342,-279.59,460,19,426.41,1583
26108265,3687,3167,37.9818527,-122.708924,162.33,424.42,23569.0,5499.0,4.342,-279.59,460,19,425.23,1583
26108264,3687,3166,37.9818528,-122.708958,162.14,423.8,23566.0,5697.0,4.342,-279.59,460,19,424.4,1583
26114977,3688,3165,37.9818258,-122.708993,161.87,422.96,23562.0,5733.0,4.342,-279.59,460,19,423.24,1583
26121689,3689,3164,37.9817989,-122.709027,161.6,421.94,23558.0,5985.0,4.342,-279.59,460,19,422.09,1583
26121688,3689,3163,37.9817989,-122.709061,161.42,421.42,23555.0,6327.0,4.342,-279.59,460,19,421.28,1583
26121687,3689,3162,37.981799,-122.709095,161.24,421.09,23552.0,6372.0,4.342,-279.59,460,19,420.49,1583
26128399,3690,3161,37.9817721,-122.709129,160.98,419.77,23548.0,6642.0,4.342,-279.59,460,19,419.38,1583
26135110,3691,3160,37.9817451,-122.709164,160.73,418.72,23543.0,6678.0,4.342,-279.59,460,19,418.27,1583
26141820,3692,3159,37.9817182,-122.709198,160.47,418.09,23539.0,7011.0,4.342,-279.59,460,19,417.17,1583
26148530,3693,3158,37.9816912,-122.709232,160.22,417.51,23535.0,7074.0,4.342,-279.59,460,19,416.09,1583
26155240,3694,3157,37.9816643,-122.709267,159.97,416.61,23531.0,7209.0,4.342,-279.59,460,19,415.01,1583
26161949,3695,3156,37.9816373,-122.709301,159.73,415.53,23526.0,7380.0,4.342,-279.59,460,19,413.94,1583
26168658,3696,3155,37.9816104,-122.709335,159.48,414.34,23522.0,7452.0,4.342,-279.59,460,19,412.87,1583
