node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
31245692,4488,3928,37.9601277,-122.683021,114.58,472.99,13488.0,1404.0,1.8434,264.05,646,24,475.27,2231
31239478,4487,3927,37.9601548,-122.683055,114.16,472.61,13484.0,1440.0,1.8434,264.05,646,24,474.5,2231
31233264,4486,3926,37.960182,-122.683089,113.75,472.15,13479.0,1782.0,1.8434,264.05,646,24,473.74,2231
31227050,4485,3925,37.9602091,-122.683123,113.36,471.96,13475.0,1800.0,1.8434,264.05,646,24,473.03,2231
31220835,4484,3924,37.9602362,-122.683157,112.98,471.58,13471.0,4797.0,1.8434,264.05,646,24,472.32,2231
31214620,4483,3923,37.9602634,-122.683191,112.7,471.44,13467.0,5481.0,1.8434,264.05,646,24,471.8,2231
31214619,4483,3922,37.9602635,-122.683225,112.5,471.29,13464.0,5643.0,1.8434,264.05,646,24,471.45,2231
31208404,4482,3921,37.9602906,-122.683259,112.24,471.01,13459.0,6138.0,1.8434,264.05,646,24,470.95,2231
31202189,4481,3920,37.9603177,-122.683293,111.98,470.86,13455.0,7056.0,1.8434,264.05,646,24,470.47,2231
31195974,4480,3919,37.9603448,-122.683327,111.73,470.59,13451.0,7452.0,1.8434,264.05,646,24,470.01,2231
31195973,4480,3918,37.9603449,-122.683362,111.56,470.49,13448.0,7506.0,1.8434,264.05,646,24,469.7,2231
31195972,4480,3917,37.960345,-122.683396,111.38,470.28,13445.0,7533.0,1.8434,264.05,646,24,469.38,2231
31195971,4480,3916,37.9603451,-122.68343,111.21,470.06,13442.0,7578.0,1.8434,264.05,646,24,469.06,2231
31195970,4480,3915,37.9603452,-122.683464,111.04,469.86,13439.0,7605.0,1.8434,264.05,646,24,468.74,2231
31195969,4480,3914,37.9603453,-122.683498,110.87,469.66,13436.0,7884.0,1.8434,264.05,646,24,468.43,2231
31202182,4481,3913,37.9603184,-122.683533,110.63,469.32,13432.0,8019.0,1.8434,264.05,646,24,467.98,2231
31202181,4481,3912,37.9603184,-122.683567,110.46,468.92,13429.0,8100.0,1.8434,264.05,646,24,467.67,2231
31202180,4481,3911,37.9603185,-122.683601,110.29,468.62,13426.0,8145.0,1.8434,264.05,646,24,467.36,2231
31208393,4482,3910,37.9602916,-122.683635,110.05,468.25,13421.0,8397.0,1.8434,264.05,646,24,466.92,2231
31208392,4482,3909,37.9602917,-122.683669,109.88,467.95,13418.0,8442.0,1.8434,264.05,646,24,466.62,2231
31208391,4482,3908,37.9602918,-122.683703,109.72,467.61,13415.0,8487.0,1.8434,264.05,646,24,466.31,2231
31208390,4482,3907,37.9602919,-122.683738,109.55,467.26,13412.0,8649.0,1.8434,264.05,646,24,466.0,2231
31208389,4482,3906,37.960292,-122.683772,109.39,466.9,13409.0,14157.0,1.8434,264.05,646,24,465.7,2231
31214602,4483,3905,37.960265,-122.683806,109.19,466.47,13405.0,15615.0,1.8434,264.05,646,24,465.33,2231
31214601,4483,3904,37.9602651,-122.68384,109.05,466.17,13402.0,16281.0,1.8434,264.05,646,24,465.08,2231
31220814,4484,3903,37.9602382,-122.683874,108.86,465.96,13398.0,16344.0,1.8434,264.05,646,24,464.73,2231
31220813,4484,3902,37.9602383,-122.683909,108.73,465.56,13395.0,16452.0,1.8434,264.05,646,24,464.48,2231
31227026,4485,3901,37.9602113,-122.683943,108.54,465.27,13391.0,16920.0,1.8434,264.05,646,24,464.13,2231
31227025,4485,3900,37.9602114,-122.683977,108.4,465.16,13388.0,16974.0,1.8434,264.05,646,24,463.89,2232
31233237,4486,3899,37.9601844,-122.684011,108.22,464.81,13383.0,17037.0,1.8434,264.05,646,24,463.54,2232
31233236,4486,3898,37.9601845,-122.684045,108.08,464.3,13380.0,17442.0,1.8434,264.05,646,24,463.29,2232
31239448,4487,3897,37.9601576,-122.68408,107.9,463.79,13376.0,17874.0,1.8434,264.05,646,24,462.95,2232
31245660,4488,3896,37.9601306,-122.684114,107.71,463.32,13372.0,18054.0,1.8434,264.05,646,24,462.61,2232
31245659,4488,3895,37.9601307,-122.684148,107.58,462.78,13369.0,18378.0,1.8434,264.05,646,24,462.37,2232
31251870,4489,3894,37.9601038,-122.684182,107.4,462.15,13365.0,18729.0,1.8434,264.05,646,24,462.03,2232
31258081,4490,3893,37.9600768,-122.684217,107.22,461.8,13360.0,18927.0,1.8434,264.05,646,24,461.7,2232
31264292,4491,3892,37.9600499,-122.684251,107.03,460.98,13356.0,18990.0,1.8434,264.05,646,24,461.36,2232
31270502,4492,3891,37.960023,-122.684285,106.85,460.12,13352.0,19152.0,1.8434,264.05,646,24,461.03,2232
31276712,4493,3890,37.959996,-122.684319,106.67,459.7,13348.0,19431.0,1.8434,264.05,646,24,460.69,2232
31282922,4494,3889,37.9599691,-122.684354,106.49,459.0,13344.0,19602.0,1.8434,264.05,646,24,460.36,2232
31289132,4495,3888,37.9599421,-122.684388,106.31,458.26,13339.0,19656.0,1.8434,264.05,646,24,460.03,2232
31295341,4496,3887,37.9599152,-122.684422,106.13,457.47,13335.0,21780.0,1.8434,264.05,646,24,459.7,2232
31301550,4497,3886,37.9598882,-122.684456,105.96,456.79,13331.0,22698.0,1.8434,264.05,646,24,459.38,2232
31307758,4498,3885,37.9598613,-122.684491,105.79,456.24,13327.0,23058.0,1.8434,264.05,646,24,459.06,2232
31313966,4499,3884,37.9598343,-122.684525,105.62,455.64,13322.0,23229.0,7.5357,-336.2,646,24,459.7,2233
31313965,4499,3883,37.9598344,-122.684559,105.5,455.05,13319.0,23580.0,7.5357,-336.2,646,24,458.79,2233
31320173,4500,3882,37.9598075,-122.684593,105.33,454.57,13315.0,23742.0,7.5357,-336.2,646,24,457.52,2233
31320172,4500,3881,37.9598076,-122.684628,105.21,454.05,13312.0,23760.0,7.5357,-336.2,646,24,456.62,2233
31320171,4500,3880,37.9598077,-122.684662,105.09,453.46,13309.0,23922.0,7.5357,-336.2,646,24,455.72,2233
31326378,4501,3879,37.9597807,-122.684696,104.92,452.93,13305.0,24228.0,7.5357,-336.2,646,24,454.45,2233
31332585,4502,3878,37.9597538,-122.68473,104.75,452.29,13301.0,24336.0,7.5357,-336.2,646,24,453.19,2233
31332584,4502,3877,37.9597538,-122.684764,104.64,451.61,13298.0,24372.0,7.5357,-336.2,646,24,452.29,2233
31338791,4503,3876,37.9597269,-122.684799,104.47,450.63,13293.0,24453.0,7.5357,-336.2,646,24,451.03,2233
31338790,4503,3875,37.959727,-122.684833,104.35,449.75,13290.0,24462.0,7.5357,-336.2,646,24,450.14,2233
31338789,4503,3874,37.9597271,-122.684867,104.23,449.14,13287.0,24471.0,7.5357,-336.2,646,24,449.25,2233
31344995,4504,3873,37.9597001,-122.684901,104.06,448.8,13283.0,24480.0,7.5357,-336.2,646,24,447.99,2233
31351201,4505,3872,37.9596732,-122.684935,103.9,447.83,13279.0,30681.0,7.5357,-336.2,646,24,446.73,2233
31357406,4506,3872,37.9596462,-122.684936,103.79,447.2,13276.0,30780.0,7.5357,-336.2,646,24,445.9,2233
31363610,4507,3872,37.9596191,-122.684936,103.68,446.53,13273.0,30996.0,7.5357,-336.2,646,24,445.07,2233
31369813,4508,3871,37.9595922,-122.68497,103.52,446.02,13269.0,31185.0,7.5357,-336.2,646,24,443.91,2233
31376015,4509,3870,37.9595652,-122.685004,103.37,445.34,13264.0,31401.0,7.5357,-336.2,646,24,442.74,2233
31376014,4509,3869,37.9595653,-122.685038,103.26,444.78,13261.0,31554.0,7.5357,-336.2,646,24,441.92,2233
31382215,4510,3868,37.9595384,-122.685073,103.1,443.97,13257.0,31680.0,7.5357,-336.2,646,24,440.76,2233
31382214,4510,3867,37.9595385,-122.685107,103.0,442.99,13254.0,42336.0,7.5357,-336.2,646,24,439.93,2233
31382213,4510,3866,37.9595385,-122.685141,102.9,442.0,13251.0,43218.0,7.5357,-336.2,646,24,439.19,2233
31382212,4510,3865,37.9595386,-122.685175,102.8,441.28,13248.0,43263.0,7.5357,-336.2,646,24,438.44,2233
31382211,4510,3864,37.9595387,-122.685209,102.7,440.63,13245.0,43380.0,7.5357,-336.2,646,24,437.7,2233
31382210,4510,3863,37.9595388,-122.685243,102.6,439.95,13242.0,43632.0,7.5357,-336.2,646,24,436.96,2233
