node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
15618096,2201,2001,38.0221236,-122.748619,97.086,238.61,14097.0,18.0,4.4896,-191.02,149,8,244.85,542
15625190,2202,2000,38.0220967,-122.748653,95.403,237.47,14092.0,4995.0,4.4896,-191.02,149,8,237.3,542
15632284,2203,1999,38.0220697,-122.748687,95.125,236.25,14088.0,5004.0,4.4896,-191.02,149,8,236.05,542
15639378,2204,1998,38.0220427,-122.748721,94.847,234.64,14084.0,5013.0,4.4896,-191.02,149,8,234.8,542
15646472,2205,1997,38.0220158,-122.748756,94.569,233.66,14080.0,10170.0,4.4896,-191.02,149,8,233.56,542
15653566,2206,1996,38.0219888,-122.74879,94.348,233.52,14075.0,13239.0,4.4896,-191.02,149,8,232.56,542
15653565,2206,1995,38.0219889,-122.748824,94.204,233.52,14072.0,13257.0,4.4896,-191.02,149,8,231.92,542
15660659,2207,1994,38.0219619,-122.748858,94.001,233.39,14068.0,13887.0,4.4896,-191.02,149,8,231.0,542
15660658,2207,1993,38.021962,-122.748893,93.859,232.71,14065.0,13941.0,4.4896,-191.02,149,8,230.37,542
15667752,2208,1992,38.021935,-122.748927,93.659,232.13,14061.0,14004.0,4.4896,-191.02,149,8,229.47,542
15674846,2209,1991,38.021908,-122.748961,93.459,231.13,14057.0,14040.0,4.4896,-191.02,149,8,228.57,542
15681940,2210,1990,38.0218811,-122.748995,93.259,230.21,14052.0,14076.0,4.4896,-191.02,149,8,227.67,542
15689034,2211,1989,38.0218541,-122.74903,93.059,228.91,14048.0,14184.0,4.4896,-191.02,149,8,226.78,542
15696128,2212,1988,38.0218271,-122.749064,92.86,227.65,14044.0,14373.0,4.4896,-191.02,149,8,225.88,542
15703222,2213,1987,38.0218002,-122.749098,92.662,226.27,14040.0,14490.0,4.4896,-191.02,149,8,224.99,542
15710316,2214,1986,38.0217732,-122.749132,92.464,224.78,14035.0,14499.0,4.4896,-191.02,149,8,224.11,542
15717410,2215,1985,38.0217462,-122.749167,92.267,223.18,14031.0,16029.0,4.4896,-191.02,149,8,223.22,542
15724504,2216,1984,38.0217193,-122.749201,92.075,221.71,14027.0,16434.0,4.4896,-191.02,149,8,222.36,542
15731598,2217,1983,38.0216923,-122.749235,91.885,220.65,14023.0,27684.0,4.4896,-191.02,149,8,221.51,542
15731597,2217,1982,38.0216924,-122.749269,91.772,220.46,14020.0,27891.0,4.4896,-191.02,149,8,221.0,542
15738691,2218,1981,38.0216654,-122.749304,91.611,219.76,14015.0,28368.0,4.4896,-191.02,149,8,220.28,542
15738690,2218,1980,38.0216655,-122.749338,91.499,219.14,14012.0,28737.0,4.4896,-191.02,149,8,219.77,542
15745784,2219,1979,38.0216385,-122.749372,91.34,218.36,14008.0,28908.0,4.4896,-191.02,149,8,219.06,542
15745783,2219,1978,38.0216386,-122.749406,91.228,217.85,14005.0,29268.0,4.4896,-191.02,149,8,218.55,542
15752877,2220,1977,38.0216116,-122.749441,91.07,217.19,14001.0,30276.0,4.4896,-191.02,149,8,217.84,542
15759971,2221,1976,38.0215847,-122.749475,90.913,216.81,13997.0,30528.0,4.4896,-191.02,149,8,217.14,542
15767065,2222,1975,38.0215577,-122.749509,90.758,215.87,13993.0,30978.0,4.4896,-191.02,149,8,216.44,543
15767064,2222,1974,38.0215578,-122.749543,90.648,215.86,13990.0,30996.0,4.4896,-191.02,149,8,215.95,543
15774158,2223,1973,38.0215308,-122.749578,90.493,214.3,13985.0,31311.0,4.4896,-191.02,149,8,215.26,543
15774157,2223,1972,38.0215309,-122.749612,90.384,213.46,13982.0,31842.0,4.4896,-191.02,149,8,214.76,543
15781251,2224,1971,38.0215039,-122.749646,90.23,213.46,13978.0,32337.0,4.4896,-191.02,149,8,214.07,543
15788345,2225,1970,38.021477,-122.74968,90.077,213.46,13974.0,32472.0,4.4896,-191.02,149,8,213.39,543
15795439,2226,1969,38.02145,-122.749715,89.924,212.89,13970.0,32481.0,4.4896,-191.02,149,8,212.7,543
15795438,2226,1968,38.0214501,-122.749749,89.816,211.74,13967.0,32724.0,4.4896,-191.02,149,8,212.22,543
15802532,2227,1967,38.0214231,-122.749783,89.664,210.32,13962.0,35334.0,4.4896,-191.02,149,8,211.53,543
15809626,2228,1966,38.0213961,-122.749817,89.515,210.1,13958.0,36792.0,4.4896,-191.02,149,8,210.87,543
15816720,2229,1965,38.0213692,-122.749852,89.369,210.06,13954.0,37053.0,4.4896,-191.02,149,8,210.21,543
15823814,2230,1964,38.0213422,-122.749886,89.222,209.43,13950.0,37701.0,4.4896,-191.02,149,8,209.55,543
15823813,2230,1963,38.0213423,-122.74992,89.119,208.59,13947.0,37737.0,4.4896,-191.02,149,8,209.09,543
15823812,2230,1962,38.0213423,-122.749954,89.016,208.07,13944.0,38043.0,4.4896,-191.02,149,8,208.63,543
15830906,2231,1961,38.0213154,-122.749989,88.871,207.78,13939.0,38700.0,4.4896,-191.02,149,8,207.97,543
15830905,2231,1960,38.0213155,-122.750023,88.769,207.55,13936.0,39006.0,7.141,-425.89,149,8,208.01,544
15830904,2231,1959,38.0213155,-122.750057,88.667,207.36,13933.0,39573.0,7.141,-425.89,149,8,207.28,544
15830903,2231,1958,38.0213156,-122.750091,88.566,206.28,13930.0,39591.0,7.141,-425.89,149,8,206.56,544
15830902,2231,1957,38.0213157,-122.750125,88.464,204.5,13927.0,39618.0,7.141,-425.89,149,8,205.83,544
15830901,2231,1956,38.0213157,-122.750159,88.363,203.61,13924.0,40599.0,7.141,-425.89,149,8,205.11,544
15837995,2232,1955,38.0212888,-122.750194,88.221,203.15,13920.0,40986.0,7.141,-425.89,149,8,204.09,544
15837994,2232,1954,38.0212889,-122.750228,88.121,202.75,13917.0,41445.0,7.141,-425.89,149,8,203.38,544
15845088,2233,1953,38.0212619,-122.750262,87.979,202.01,13913.0,46629.0,7.141,-425.89,149,8,202.37,544
15845087,2233,1952,38.021262,-122.750296,87.883,201.49,13910.0,46773.0,7.141,-425.89,149,8,201.68,544
15845086,2233,1951,38.021262,-122.750331,87.787,201.19,13907.0,46935.0,7.141,-425.89,149,8,201.0,544
15845085,2233,1950,38.0212621,-122.750365,87.691,201.06,13904.0,46944.0,7.141,-425.89,149,8,200.31,544
15845084,2233,1949,38.0212622,-122.750399,87.595,200.38,13901.0,46971.0,7.141,-425.89,149,8,199.62,544
15845083,2233,1948,38.0212622,-122.750433,87.499,199.69,13898.0,46989.0,7.141,-425.89,149,8,198.94,544
15845082,2233,1947,38.0212623,-122.750467,87.403,199.02,13895.0,48600.0,7.141,-425.89,149,8,198.25,544
15845081,2233,1946,38.0212624,-122.750501,87.308,198.36,13892.0,49275.0,7.141,-425.89,149,8,197.58,544
15845080,2233,1945,38.0212625,-122.750536,87.214,197.72,13889.0,50526.0,7.141,-425.89,149,8,196.9,544
15845079,2233,1944,38.0212625,-122.75057,87.12,197.07,13886.0,50841.0,7.141,-425.89,149,8,196.23,544
15845078,2233,1943,38.0212626,-122.750604,87.026,196.43,13883.0,50949.0,7.141,-425.89,149,8,195.56,544
15845077,2233,1942,38.0212627,-122.750638,86.933,195.77,13880.0,51039.0,7.141,-425.89,149,8,194.9,544
15845076,2233,1941,38.0212628,-122.750672,86.839,194.68,13877.0,51210.0,7.141,-425.89,149,8,194.23,544
15852170,2234,1940,38.0212358,-122.750707,86.707,193.53,13873.0,51750.0,7.141,-425.89,149,8,193.29,544
15852169,2234,1939,38.0212359,-122.750741,86.614,192.94,13870.0,52110.0,7.141,-425.89,149,8,192.62,544
15852168,2234,1938,38.0212359,-122.750775,86.521,192.44,13867.0,52344.0,7.141,-425.89,149,8,191.96,544
15852167,2234,1937,38.021236,-122.750809,86.429,192.16,13864.0,52731.0,7.141,-425.89,149,8,191.3,544
15852166,2234,1936,38.0212361,-122.750843,86.336,192.01,13861.0,53226.0,7.141,-425.89,149,8,190.64,544
15852165,2234,1935,38.0212362,-122.750877,86.244,191.74,13858.0,53235.0,7.141,-425.89,149,8,189.98,544
15852164,2234,1934,38.0212362,-122.750912,86.152,191.02,13855.0,53244.0,7.141,-425.89,149,8,189.32,544
15852163,2234,1933,38.0212363,-122.750946,86.06,189.55,13852.0,53253.0,7.141,-425.89,149,8,188.66,544
15852162,2234,1932,38.0212364,-122.75098,85.968,188.26,13849.0,53460.0,7.141,-425.89,149,8,188.0,544
15852161,2234,1931,38.0212364,-122.751014,85.875,187.49,13846.0,57195.0,7.141,-425.89,149,8,187.34,544
15852160,2234,1930,38.0212365,-122.751048,85.785,186.77,13843.0,57222.0,7.141,-425.89,149,8,186.7,544
15852159,2234,1929,38.0212366,-122.751083,85.695,186.09,13840.0,57429.0,7.141,-425.89,149,8,186.06,544
15852158,2234,1928,38.0212367,-122.751117,85.605,185.27,13837.0,57465.0,7.141,-425.89,149,8,185.42,544
15852157,2234,1927,38.0212367,-122.751151,85.515,184.1,13834.0,57483.0,7.141,-425.89,149,8,184.77,545
15852156,2234,1926,38.0212368,-122.751185,85.425,183.06,13831.0,57528.0,7.141,-425.89,149,8,184.13,545
15852155,2234,1925,38.0212369,-122.751219,85.335,182.18,13828.0,58491.0,7.141,-425.89,149,8,183.49,545
15852154,2234,1924,38.0212369,-122.751253,85.246,181.28,13825.0,59220.0,7.141,-425.89,149,8,182.85,545
15852153,2234,1923,38.021237,-122.751288,85.157,180.72,13822.0,60237.0,7.141,-425.89,149,8,182.21,545
15859248,2235,1923,38.02121,-122.751288,85.068,180.6,13819.0,63882.0,7.141,-425.89,149,8,181.58,545
15866342,2236,1922,38.021183,-122.751322,84.945,180.52,13814.0,63936.0,7.141,-425.89,149,8,180.7,545
15873436,2237,1921,38.021156,-122.751356,84.822,180.2,13810.0,63945.0,7.141,-425.89,149,8,179.82,545
15880530,2238,1920,38.0211291,-122.751391,84.699,178.98,13806.0,65655.0,7.141,-425.89,149,8,178.95,545
15880529,2238,1919,38.0211292,-122.751425,84.613,177.86,13803.0,66141.0,6.0378,-333.56,149,8,177.32,546
15880528,2238,1918,38.0211292,-122.751459,84.527,177.06,13800.0,66168.0,6.0378,-333.56,149,8,176.8,546
15880527,2238,1917,38.0211293,-122.751493,84.441,176.64,13797.0,66600.0,6.0378,-333.56,149,8,176.28,546
15887621,2239,1916,38.0211023,-122.751527,84.32,175.95,13793.0,66663.0,6.0378,-333.56,149,8,175.55,546
15894715,2240,1915,38.0210754,-122.751562,84.198,174.87,13788.0,72828.0,6.0378,-333.56,149,8,174.81,546
15901809,2241,1914,38.0210484,-122.751596,84.08,173.34,13784.0,72936.0,6.0378,-333.56,149,8,174.1,546
15908903,2242,1913,38.0210214,-122.75163,83.962,172.21,13780.0,74232.0,6.0378,-333.56,149,8,173.39,546
15915997,2243,1912,38.0209945,-122.751664,83.845,171.83,13776.0,74538.0,6.0378,-333.56,149,8,172.68,546
15923091,2244,1911,38.0209675,-122.751699,83.728,171.83,13771.0,74646.0,6.0378,-333.56,149,8,171.97,546
15923090,2244,1910,38.0209676,-122.751733,83.645,171.83,13768.0,74664.0,6.0378,-333.56,149,8,171.47,546
15930184,2245,1909,38.0209406,-122.751767,83.528,171.64,13764.0,74736.0,6.0378,-333.56,149,8,170.77,546
15937279,2246,1909,38.0209136,-122.751767,83.446,171.51,13761.0,74754.0,6.0378,-333.56,149,8,170.27,546
15944373,2247,1908,38.0208866,-122.751801,83.329,171.3,13757.0,74763.0,6.0378,-333.56,149,8,169.56,546
15951467,2248,1907,38.0208596,-122.751836,83.212,169.79,13753.0,74772.0,6.0378,-333.56,149,8,168.86,546
15958561,2249,1906,38.0208327,-122.75187,83.095,167.66,13748.0,75339.0,6.0378,-333.56,149,8,168.15,546
15958560,2249,1905,38.0208327,-122.751904,83.012,166.83,13745.0,76653.0,6.0378,-333.56,149,8,167.65,546
15965654,2250,1904,38.0208058,-122.751938,82.896,165.92,13741.0,87372.0,6.0378,-333.56,149,8,166.95,546
15972748,2251,1903,38.0207788,-122.751973,82.785,165.2,13737.0,87687.0,6.0378,-333.56,149,8,166.28,546
15979842,2252,1902,38.0207518,-122.752007,82.674,164.95,13733.0,87903.0,6.0378,-333.56,149,8,165.61,546
15979841,2252,1901,38.0207519,-122.752041,82.595,164.24,13730.0,88236.0,6.0378,-333.56,149,8,165.13,546
15979840,2252,1900,38.020752,-122.752075,82.517,163.94,13727.0,89478.0,6.0378,-333.56,149,8,164.66,546
15986934,2253,1899,38.020725,-122.75211,82.406,163.94,13722.0,89613.0,6.0378,-333.56,149,8,163.99,546
15994028,2254,1898,38.0206981,-122.752144,82.296,162.69,13718.0,89874.0,6.0378,-333.56,149,8,163.33,546
15994027,2254,1897,38.0206981,-122.752178,82.218,162.25,13715.0,92295.0,6.0378,-333.56,149,8,162.86,546
15994026,2254,1896,38.0206982,-122.752212,82.141,162.25,13712.0,92313.0,6.0378,-333.56,149,8,162.39,546
15986930,2253,1895,38.0207253,-122.752246,82.031,162.25,13708.0,92448.0,6.0378,-333.56,149,8,161.73,546
15986929,2253,1894,38.0207254,-122.752281,81.954,161.9,13705.0,92466.0,6.0378,-333.56,149,8,161.26,546
15986928,2253,1893,38.0207255,-122.752315,81.877,161.27,13702.0,92646.0,6.0378,-333.56,149,8,160.8,547
15994022,2254,1892,38.0206985,-122.752349,81.768,160.7,13698.0,93204.0,6.0378,-333.56,149,8,160.14,547
16001116,2255,1891,38.0206715,-122.752383,81.659,160.17,13694.0,93402.0,6.0378,-333.56,149,8,159.48,547
16008210,2256,1890,38.0206446,-122.752418,81.55,159.65,13689.0,95598.0,6.0378,-333.56,149,8,158.82,547
16008209,2256,1889,38.0206446,-122.752452,81.473,158.97,13686.0,95949.0,6.0378,-333.56,149,8,158.36,547
16015303,2257,1888,38.0206177,-122.752486,81.365,158.34,13682.0,96336.0,6.0378,-333.56,149,8,157.71,547
16022397,2258,1887,38.0205907,-122.75252,81.257,157.81,13678.0,97002.0,6.0378,-333.56,149,8,157.06,547
16029491,2259,1886,38.0205637,-122.752555,81.15,156.72,13674.0,97164.0,6.0378,-333.56,149,8,156.41,547
16029490,2259,1885,38.0205638,-122.752589,81.074,154.93,13671.0,97902.0,6.0378,-333.56,149,8,155.95,547
