node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
41092728,6330,5758,37.910138,-122.620782,86.851,611.02,8584.3,4266.0,3.2606,331.0,1103,35,614.19,3835
41092727,6330,5757,37.9101381,-122.620816,86.644,610.07,8581.3,4752.0,3.2606,331.0,1103,35,613.52,3835
41092726,6330,5756,37.9101382,-122.62085,86.445,609.49,8578.3,4941.0,3.2606,331.0,1103,35,612.86,3835
41097222,6331,5755,37.9101113,-122.620884,86.166,608.83,8574.0,5175.0,3.2606,331.0,1103,35,611.95,3835
41097221,6331,5754,37.9101114,-122.620918,85.971,608.5,8571.0,5400.0,3.2606,331.0,1103,35,611.32,3835
41101716,6332,5753,37.9100845,-122.620953,85.7,607.87,8566.8,5526.0,3.2606,331.0,1103,35,610.44,3835
41106211,6333,5752,37.9100575,-122.620987,85.431,607.36,8562.6,5697.0,3.2606,331.0,1103,35,609.56,3835
41110706,6334,5751,37.9100306,-122.621021,85.164,606.93,8558.3,5733.0,3.2606,331.0,1103,35,608.69,3835
41115200,6335,5750,37.9100037,-122.621055,84.898,606.53,8554.1,5742.0,3.2606,331.0,1103,35,607.82,3835
41119693,6336,5749,37.9099767,-122.62109,84.632,605.87,8549.8,6102.0,3.2606,331.0,1103,35,606.96,3835
41124186,6337,5748,37.9099498,-122.621124,84.372,605.44,8545.6,9819.0,3.2606,331.0,1103,35,606.1,3835
41124185,6337,5747,37.9099499,-122.621158,84.213,605.19,8542.6,10017.0,3.2606,331.0,1103,35,605.59,3835
41124184,6337,5746,37.90995,-122.621192,84.056,604.96,8539.6,10035.0,3.2606,331.0,1103,35,605.08,3835
41128677,6338,5745,37.9099231,-122.621226,83.833,604.65,8535.3,10179.0,3.2606,331.0,1103,35,604.35,3835
41133169,6339,5744,37.9098962,-122.621261,83.612,604.26,8531.1,10188.0,3.2606,331.0,1103,35,603.63,3835
41137661,6340,5743,37.9098692,-122.621295,83.391,603.98,8526.9,18396.0,3.2606,331.0,1103,35,602.91,3835
41142154,6341,5743,37.9098422,-122.621295,83.261,603.61,8523.9,18522.0,3.2606,331.0,1103,35,602.48,3835
41146647,6342,5743,37.9098152,-122.621295,83.132,603.35,8520.9,18945.0,3.2606,331.0,1103,35,602.06,3835
41151140,6343,5743,37.9097881,-122.621295,83.004,603.21,8517.9,19026.0,3.2606,331.0,1103,35,601.64,3835
41155632,6344,5743,37.9097611,-122.621296,82.875,603.13,8514.9,19116.0,3.2606,331.0,1103,35,601.23,3835
41160123,6345,5742,37.9097342,-122.62133,82.694,602.9,8510.6,19296.0,3.2606,331.0,1103,35,600.64,3835
41164614,6346,5742,37.9097071,-122.62133,82.567,602.66,8507.6,19899.0,3.2606,331.0,1103,35,600.22,3835
41169104,6347,5741,37.9096802,-122.621364,82.388,602.41,8503.4,20052.0,3.2606,331.0,1103,35,599.64,3835
41173594,6348,5740,37.9096533,-122.621398,82.21,601.9,8499.1,20061.0,3.2606,331.0,1103,35,599.06,3835
41178084,6349,5739,37.9096263,-122.621433,82.032,600.61,8494.9,20133.0,3.2606,331.0,1103,35,598.48,3835
41182574,6350,5738,37.9095994,-122.621467,81.854,599.81,8490.7,20421.0,3.2606,331.0,1103,35,597.9,3835
41187064,6351,5738,37.9095724,-122.621467,81.729,599.25,8487.7,21933.0,3.2606,331.0,1103,35,597.49,3835
41191553,6352,5737,37.9095454,-122.621501,81.555,598.57,8483.4,23049.0,3.2606,331.0,1103,35,596.92,3836
41196043,6353,5737,37.9095184,-122.621502,81.435,598.15,8480.4,23283.0,3.2606,331.0,1103,35,596.53,3836
41200533,6354,5737,37.9094914,-122.621502,81.315,597.77,8477.4,23904.0,3.2606,331.0,1103,35,596.14,3836
41205021,6355,5736,37.9094644,-122.621536,81.146,597.36,8473.2,24138.0,3.2606,331.0,1103,35,595.59,3836
41209510,6356,5736,37.9094374,-122.621536,81.027,596.98,8470.2,24381.0,3.2606,331.0,1103,35,595.2,3836
41213998,6357,5735,37.9094105,-122.62157,80.86,596.6,8465.9,24777.0,3.2606,331.0,1103,35,594.66,3836
41218487,6358,5735,37.9093834,-122.621571,80.742,596.11,8462.9,24939.0,3.2606,331.0,1103,35,594.27,3836
41222976,6359,5735,37.9093564,-122.621571,80.625,595.81,8459.9,25299.0,3.2606,331.0,1103,35,593.89,3836
41227464,6360,5734,37.9093295,-122.621605,80.459,595.27,8455.7,25488.0,3.2606,331.0,1103,35,593.35,3836
41231952,6361,5733,37.9093025,-122.621639,80.294,594.78,8451.4,25812.0,3.2606,331.0,1103,35,592.81,3836
41236441,6362,5733,37.9092755,-122.621639,80.178,594.27,8448.4,26442.0,3.2606,331.0,1103,35,592.43,3836
41240930,6363,5733,37.9092485,-122.621639,80.063,593.92,8445.4,26739.0,3.2606,331.0,1103,35,592.06,3836
41245418,6364,5732,37.9092215,-122.621674,79.9,593.05,8441.2,27072.0,3.2606,331.0,1103,35,591.53,3836
41249907,6365,5732,37.9091945,-122.621674,79.786,592.45,8438.2,27900.0,3.2606,331.0,1103,35,591.15,3836
41254395,6366,5731,37.9091676,-122.621708,79.625,591.86,8434.0,28116.0,3.2606,331.0,1103,35,590.63,3836
41258884,6367,5731,37.9091405,-122.621708,79.512,591.21,8431.0,28404.0,3.2606,331.0,1103,35,590.26,3836
41263373,6368,5731,37.9091135,-122.621708,79.4,590.85,8428.0,28854.0,3.2606,331.0,1103,35,589.89,3836
41267861,6369,5730,37.9090866,-122.621743,79.241,590.35,8423.7,28863.0,3.2606,331.0,1103,35,589.38,3836
41272349,6370,5729,37.9090596,-122.621777,79.082,589.38,8419.5,29187.0,3.2606,331.0,1103,35,588.86,3836
41276837,6371,5728,37.9090327,-122.621811,78.924,588.79,8415.2,36999.0,3.2606,331.0,1103,35,588.34,3836
41276836,6371,5727,37.9090328,-122.621845,78.821,588.0,8412.2,37449.0,3.2606,331.0,1103,35,588.01,3836
41281324,6372,5726,37.9090059,-122.62188,78.675,586.85,8408.0,37764.0,3.2606,331.0,1103,35,587.53,3836
41285812,6373,5725,37.9089789,-122.621914,78.529,586.1,8403.7,37935.0,3.2606,331.0,1103,35,587.06,3836
41290300,6374,5724,37.908952,-122.621948,78.384,584.96,8399.5,38079.0,3.2606,331.0,1103,35,586.58,3836
41294788,6375,5723,37.9089251,-122.621982,78.239,584.05,8395.3,38394.0,3.2606,331.0,1103,35,586.11,3836
41294787,6375,5722,37.9089252,-122.622017,78.136,583.3,8392.3,38673.0,3.2606,331.0,1103,35,585.77,3836
41299275,6376,5721,37.9088983,-122.622051,77.992,582.11,8388.0,38934.0,3.2606,331.0,1103,35,585.3,3836
41303763,6377,5720,37.9088713,-122.622085,77.848,581.52,8383.8,39015.0,3.2606,331.0,1103,35,584.83,3836
41303762,6377,5719,37.9088715,-122.622119,77.746,580.82,8380.8,39402.0,3.2606,331.0,1103,35,584.5,3837
41308250,6378,5718,37.9088445,-122.622153,77.602,579.92,8376.5,39726.0,3.2606,331.0,1103,35,584.03,3837
41312738,6379,5717,37.9088176,-122.622188,77.459,578.58,8372.3,39780.0,3.2606,331.0,1103,35,583.57,3837
41312737,6379,5716,37.9088177,-122.622222,77.358,577.27,8369.3,40158.0,3.2606,331.0,1103,35,583.24,3837
41312736,6379,5715,37.9088178,-122.622256,77.257,576.7,8366.3,40491.0,11.0,-271.02,1103,35,578.81,3838
41317224,6380,5714,37.9087909,-122.62229,77.115,575.78,8362.1,40743.0,11.0,-271.02,1103,35,577.24,3838
41317223,6380,5713,37.908791,-122.622324,77.014,574.52,8359.1,41049.0,11.0,-271.02,1103,35,576.14,3838
41321711,6381,5712,37.9087641,-122.622359,76.873,573.05,8354.8,41094.0,11.0,-271.02,1103,35,574.58,3838
41321710,6381,5711,37.9087642,-122.622393,76.772,572.28,8351.8,41517.0,11.0,-271.02,1103,35,573.48,3838
41326198,6382,5710,37.9087372,-122.622427,76.631,571.33,8347.6,41994.0,11.0,-271.02,1103,35,571.92,3838
41326197,6382,5709,37.9087374,-122.622461,76.532,570.74,8344.6,42120.0,11.0,-271.02,1103,35,570.83,3838
41330684,6383,5708,37.9087104,-122.622495,76.391,569.94,8340.3,53703.0,11.0,-271.02,1103,35,569.28,3838
41330683,6383,5707,37.9087105,-122.62253,76.299,569.14,8337.3,54216.0,11.0,-271.02,1103,35,568.27,3838
41330682,6383,5706,37.9087106,-122.622564,76.208,568.75,8334.3,54243.0,11.0,-271.02,1103,35,567.26,3838
41335169,6384,5705,37.9086837,-122.622598,76.078,567.54,8330.1,54342.0,11.0,-271.02,1103,35,565.84,3838
41339656,6385,5704,37.9086568,-122.622632,75.948,566.33,8325.8,54351.0,11.0,-271.02,1103,35,564.41,3838
41339655,6385,5703,37.9086569,-122.622666,75.857,565.16,8322.8,54441.0,11.0,-271.02,1103,35,563.4,3838
41344142,6386,5702,37.90863,-122.622701,75.727,563.71,8318.6,54450.0,11.0,-271.02,1103,35,561.98,3838
41348629,6387,5701,37.908603,-122.622735,75.598,561.62,8314.4,54657.0,11.0,-271.02,1103,35,560.56,3838
41353116,6388,5700,37.9085761,-122.622769,75.469,559.93,8310.1,55620.0,11.0,-271.02,1103,35,559.13,3838
41357603,6389,5699,37.9085492,-122.622803,75.34,558.52,8305.9,59337.0,11.0,-271.02,1103,35,557.72,3838
41357602,6389,5698,37.9085493,-122.622837,75.251,557.64,8302.9,69903.0,11.0,-271.02,1103,35,556.74,3838
41362089,6390,5697,37.9085224,-122.622872,75.132,556.28,8298.6,70371.0,11.0,-271.02,1103,35,555.43,3838
41366576,6391,5696,37.9084954,-122.622906,75.012,554.9,8294.4,70416.0,11.0,-271.02,1103,35,554.11,3838
41371063,6392,5695,37.9084685,-122.62294,74.893,553.37,8290.1,70443.0,11.0,-271.02,1103,35,552.8,3838
41371062,6392,5694,37.9084686,-122.622974,74.809,552.03,8287.1,71469.0,11.0,-271.02,1103,35,551.88,3838
41375549,6393,5693,37.9084417,-122.623009,74.69,550.49,8282.9,71784.0,11.0,-271.02,1103,35,550.57,3838
41380036,6394,5692,37.9084148,-122.623043,74.572,548.97,8278.7,71982.0,11.0,-271.02,1103,35,549.27,3838
41380035,6394,5691,37.9084149,-122.623077,74.488,547.75,8275.7,72999.0,11.0,-271.02,1103,35,548.35,3838
41384522,6395,5690,37.9083879,-122.623111,74.37,546.23,8271.4,73071.0,11.0,-271.02,1103,35,547.05,3838
41384521,6395,5689,37.908388,-122.623145,74.287,545.4,8268.4,74007.0,11.0,-271.02,1103,35,546.13,3838
41389007,6396,5688,37.9083611,-122.62318,74.169,544.82,8264.2,75177.0,11.0,-271.02,1103,35,544.84,3839
41389006,6396,5687,37.9083612,-122.623214,74.087,543.85,8261.2,75366.0,11.0,-271.02,1103,35,543.93,3839
41393492,6397,5686,37.9083343,-122.623248,73.97,542.27,8256.9,75492.0,11.0,-271.02,1103,35,542.65,3839
41397978,6398,5685,37.9083074,-122.623282,73.854,541.04,8252.7,75528.0,11.0,-271.02,1103,35,541.37,3839
41402464,6399,5684,37.9082804,-122.623317,73.737,539.59,8248.4,76707.0,11.0,-271.02,1103,35,540.09,3839
41406950,6400,5683,37.9082535,-122.623351,73.621,538.42,8244.2,77004.0,11.0,-271.02,1103,35,538.81,3839
41411436,6401,5682,37.9082266,-122.623385,73.505,537.71,8240.0,77328.0,11.0,-271.02,1103,35,537.53,3839
41415921,6402,5681,37.9081996,-122.623419,73.389,536.3,8235.7,81657.0,11.0,-271.02,1103,35,536.26,3839
41420406,6403,5680,37.9081727,-122.623454,73.276,534.54,8231.5,82089.0,11.0,-271.02,1103,35,535.01,3839
41420405,6403,5679,37.9081728,-122.623488,73.195,533.6,8228.5,82323.0,11.0,-271.02,1103,35,534.13,3839
41424890,6404,5678,37.9081459,-122.623522,73.082,532.23,8224.2,84303.0,11.0,-271.02,1103,35,532.88,3839
41429374,6405,5677,37.908119,-122.623556,72.969,531.48,8220.0,84600.0,11.0,-271.02,1103,35,531.64,3839
41429373,6405,5676,37.9081191,-122.62359,72.89,530.77,8217.0,85113.0,11.0,-271.02,1103,35,530.77,3839
41433857,6406,5675,37.9080921,-122.623625,72.778,529.89,8212.8,85464.0,10.633,-245.15,1103,35,528.72,3840
41438341,6407,5674,37.9080652,-122.623659,72.666,528.92,8208.5,86121.0,10.633,-245.15,1103,35,527.53,3840
41438340,6407,5673,37.9080653,-122.623693,72.587,527.63,8205.5,86463.0,10.633,-245.15,1103,35,526.69,3840
41442823,6408,5672,37.9080384,-122.623727,72.475,525.15,8201.3,86499.0,10.633,-245.15,1103,35,525.5,3840
41447306,6409,5671,37.9080115,-122.623762,72.363,523.34,8197.0,87552.0,10.633,-245.15,1103,35,524.32,3840
41447305,6409,5670,37.9080116,-122.623796,72.285,522.72,8194.0,88038.0,10.633,-245.15,1103,35,523.48,3840
41447304,6409,5669,37.9080117,-122.62383,72.206,521.63,8191.0,88056.0,10.633,-245.15,1103,35,522.65,3840
41447303,6409,5668,37.9080118,-122.623864,72.128,520.56,8188.0,88236.0,10.633,-245.15,1103,35,521.81,3840
41447302,6409,5667,37.9080119,-122.623898,72.049,519.62,8185.0,88632.0,10.633,-245.15,1103,35,520.98,3840
41447301,6409,5666,37.908012,-122.623932,71.971,518.91,8182.0,88749.0,10.633,-245.15,1103,35,520.15,3840
41451784,6410,5665,37.9079851,-122.623967,71.86,517.83,8177.8,90189.0,10.633,-245.15,1103,35,518.97,3840
41451783,6410,5664,37.9079852,-122.624001,71.782,516.96,8174.8,90351.0,10.633,-245.15,1103,35,518.14,3840
41456265,6411,5663,37.9079583,-122.624035,71.672,516.01,8170.5,90810.0,10.633,-245.15,1103,35,516.97,3840
41456264,6411,5662,37.9079584,-122.624069,71.595,515.24,8167.5,90891.0,10.633,-245.15,1103,35,516.14,3840
41460745,6412,5661,37.9079314,-122.624103,71.485,514.42,8163.3,91314.0,10.633,-245.15,1103,35,514.97,3840
41460744,6412,5660,37.9079316,-122.624137,71.407,513.55,8160.3,91530.0,10.633,-245.15,1103,35,514.15,3840
41465225,6413,5659,37.9079046,-122.624172,71.297,512.8,8156.1,91962.0,10.633,-245.15,1103,35,512.98,3840
41465224,6413,5658,37.9079047,-122.624206,71.22,511.98,8153.1,92142.0,10.633,-245.15,1103,35,512.16,3840
41465223,6413,5657,37.9079048,-122.62424,71.143,511.61,8150.1,92187.0,10.633,-245.15,1103,35,511.34,3840
41469703,6414,5656,37.9078779,-122.624274,71.033,510.88,8145.8,92637.0,10.633,-245.15,1103,35,510.17,3840
41469702,6414,5655,37.907878,-122.624308,70.956,510.14,8142.8,92673.0,10.633,-245.15,1103,35,509.35,3840
41474182,6415,5654,37.9078511,-122.624343,70.847,509.34,8138.6,143360.0,10.633,-245.15,1103,35,508.19,3840
41478662,6416,5653,37.9078242,-122.624377,70.752,508.87,8134.3,143780.0,10.633,-245.15,1103,35,507.18,3840
41483141,6417,5652,37.9077972,-122.624411,70.657,508.25,8130.1,143910.0,10.633,-245.15,1103,35,506.17,3840
41487619,6418,5651,37.9077703,-122.624445,70.562,507.38,8125.8,144400.0,10.633,-245.15,1103,35,505.17,3840
41487618,6418,5650,37.9077704,-122.62448,70.495,506.93,8122.8,144590.0,10.633,-245.15,1103,35,504.45,3840
41487617,6418,5649,37.9077705,-122.624514,70.428,506.49,8119.8,145250.0,10.633,-245.15,1103,35,503.74,3840
41487616,6418,5648,37.9077706,-122.624548,70.361,506.06,8116.8,145270.0,10.633,-245.15,1103,35,503.03,3840
41492094,6419,5647,37.9077437,-122.624582,70.267,505.14,8112.6,145580.0,10.633,-245.15,1103,35,502.02,3841
41492093,6419,5646,37.9077438,-122.624616,70.2,504.27,8109.6,145740.0,10.633,-245.15,1103,35,501.31,3841
41492092,6419,5645,37.9077439,-122.62465,70.133,503.35,8106.6,146110.0,10.633,-245.15,1103,35,500.6,3841
41492091,6419,5644,37.907744,-122.624684,70.066,501.82,8103.6,146250.0,10.633,-245.15,1103,35,499.89,3841
41492090,6419,5643,37.9077441,-122.624719,70.0,500.39,8100.6,146280.0,10.633,-245.15,1103,35,499.18,3841
41492089,6419,5642,37.9077442,-122.624753,69.933,499.15,8097.6,146400.0,10.633,-245.15,1103,35,498.47,3841
41492088,6419,5641,37.9077444,-122.624787,69.866,497.09,8094.6,146450.0,10.633,-245.15,1103,35,497.76,3841
41492087,6419,5640,37.9077445,-122.624821,69.8,495.5,8091.6,146500.0,10.633,-245.15,1103,35,497.06,3841
41492086,6419,5639,37.9077446,-122.624855,69.733,494.14,8088.6,146560.0,10.633,-245.15,1103,35,496.35,3841
41492085,6419,5638,37.9077447,-122.624889,69.666,493.02,8085.6,146920.0,10.633,-245.15,1103,35,495.64,3841
41496563,6420,5637,37.9077177,-122.624923,69.572,491.2,8081.4,147440.0,10.633,-245.15,1103,35,494.64,3841
41496562,6420,5636,37.9077179,-122.624958,69.505,489.51,8078.4,147470.0,10.633,-245.15,1103,35,493.93,3841
41496561,6420,5635,37.907718,-122.624992,69.439,487.88,8075.4,147500.0,10.633,-245.15,1103,35,493.22,3841
41496560,6420,5634,37.9077181,-122.625026,69.372,486.54,8072.4,147550.0,17.282,-719.18,1103,35,479.68,3842
41496559,6420,5633,37.9077182,-122.62506,69.306,484.72,8069.4,147600.0,17.282,-719.18,1103,35,478.53,3842
41496558,6420,5632,37.9077183,-122.625094,69.239,482.58,8066.4,147610.0,17.282,-719.18,1103,35,477.38,3842
41496557,6420,5631,37.9077184,-122.625128,69.173,479.87,8063.4,147890.0,17.282,-719.18,1103,35,476.23,3842
41496556,6420,5630,37.9077185,-122.625162,69.106,477.74,8060.4,147900.0,17.282,-719.18,1103,35,475.08,3842
41496555,6420,5629,37.9077186,-122.625196,69.04,475.74,8057.4,148230.0,17.282,-719.18,1103,35,473.94,3842
41501033,6421,5628,37.9076917,-122.625231,68.946,473.2,8053.1,148750.0,17.282,-719.18,1103,35,472.31,3842
41505510,6422,5627,37.9076648,-122.625265,68.852,471.02,8048.9,148970.0,17.282,-719.18,1103,35,470.69,3842
41509987,6423,5626,37.9076378,-122.625299,68.758,469.12,8044.6,149110.0,17.282,-719.18,1103,35,469.07,3842
41514464,6424,5625,37.9076109,-122.625334,68.664,466.87,8040.4,149350.0,17.282,-719.18,1103,35,467.45,3842
41518935,6425,5624,37.907584,-122.625368,68.571,464.22,8036.1,149380.0,17.282,-719.18,1103,35,465.83,3842
41523402,6426,5623,37.907557,-122.625402,68.477,462.46,8031.9,150260.0,17.282,-719.18,1103,35,464.21,3842
41523401,6426,5622,37.9075571,-122.625436,68.411,461.15,8028.9,154370.0,17.282,-719.18,1103,35,463.07,3842
41527866,6427,5621,37.9075302,-122.62547,68.318,459.54,8024.7,154440.0,17.282,-719.18,1103,35,461.46,3842
41532330,6428,5620,37.9075033,-122.625505,68.225,457.7,8020.4,155090.0,17.282,-719.18,1103,35,459.86,3842
41532329,6428,5619,37.9075034,-122.625539,68.16,456.22,8017.4,155340.0,17.282,-719.18,1103,35,458.73,3842
41532328,6428,5618,37.9075035,-122.625573,68.094,454.85,8014.4,155550.0,17.282,-719.18,1103,35,457.6,3842
41532327,6428,5617,37.9075036,-122.625607,68.029,453.46,8011.4,155560.0,17.282,-719.18,1103,35,456.47,3842
