X,Y,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist
535386,4188530.0,7096,6442,2,-0.0227575,0.24345,54.5553,224.092,20376,7157,6464,4521,0.0773739,17,81,12.7494,0.304313,195.936
535386,4188530.0,7097,6442,2,-0.0183234,0.241231,54.2993,225.092,20376,7157,6464,4521,0.102614,16,81,10.3112,0.301539,193.025
535388,4188530.0,7097,6443,2,-0.0208052,0.259172,42.0058,162.077,20376,7145,6468,4521,0.100985,3,69,8.43009,0.323965,161.352
535386,4188530.0,7098,6442,2,-0.00846771,0.238644,53.9261,225.968,20376,7157,6464,4521,0.118782,17,81,4.78359,0.298306,190.21
535388,4188530.0,7098,6443,2,-0.0118609,0.281527,53.07,188.507,20376,7156,6464,4521,0.115931,14,64,5.58966,0.351909,186.144
535392,4188530.0,7098,6444,2,-0.0146512,0.199173,41.264,207.177,20376,7144,6471,4521,0.114457,2,90,7.58848,0.248966,158.303
535386,4188540.0,7099,6442,2,-0.00392293,0.236034,53.5337,226.805,20376,7157,6464,4521,0.119939,17,82,2.22435,0.295042,187.402
535388,4188540.0,7099,6443,2,-0.00438391,0.281173,52.6683,187.317,20376,7156,6464,4521,0.11464,13,66,2.05295,0.351466,183.112
535392,4188540.0,7099,6444,2,-0.00767931,0.258051,41.2099,159.697,20376,7144,6470,4521,0.11705,3,69,3.0659,0.322563,155.379
535386,4188540.0,7100,6442,2,-0.00896918,0.242959,53.2226,219.06,20376,7157,6464,4521,0.116729,17,79,4.91198,0.303699,184.614
535388,4188540.0,7100,6443,2,-0.0132186,0.279207,52.3709,187.57,20376,7156,6464,4521,0.113142,12,66,6.19853,0.349009,180.171
535394,4188540.0,7100,6445,2,-0.0137578,0.220471,40.4073,183.277,20376,7144,6471,4521,0.136646,0,83,6.3037,0.275589,151.648
535386,4188540.0,7101,6442,2,-0.0134135,0.250428,52.8808,211.161,20376,7157,6464,4521,0.12565,17,76,7.08105,0.313035,181.861
535388,4188540.0,7101,6443,2,-0.0154505,0.282032,52.0865,184.683,20376,7156,6464,4521,0.121322,12,67,7.13361,0.352539,177.369
535398,4188540.0,7101,6446,2,-0.00605717,0.204755,39.7804,194.283,20376,7144,6471,4521,0.157123,2,85,2.94201,0.255944,147.51
535386,4188550.0,7102,6442,2,-0.0157438,0.259096,52.4646,202.491,20376,7157,6464,4521,0.136563,13,77,7.96994,0.32387,179.473
535388,4188550.0,7102,6443,2,-0.0163914,0.283844,51.6332,181.907,20376,7156,6464,4521,0.12955,12,66,7.45428,0.354805,174.57
535400,4188550.0,7102,6447,2,-0.00427815,0.218504,68.1197,311.755,20376,7178,6482,4558,0.161017,19,117,3.33434,0.27313,250.66
535386,4188550.0,7103,6442,2,-0.0255976,0.264566,51.2886,193.86,20376,7156,6464,4521,0.149659,10,76,12.4059,0.330707,171.794
535388,4188550.0,7103,6443,2,-0.0145459,0.286118,51.2777,179.218,20376,7156,6464,4521,0.134549,12,65,6.51724,0.357648,171.776
535382,4188550.0,7104,6441,2,-0.01857,0.252362,51.3233,203.371,20376,7157,6464,4521,0.209451,16,73,9.44152,0.315453,174.697
535386,4188550.0,7104,6442,2,-0.0318935,0.274415,50.832,185.238,20376,7156,6464,4521,0.178356,11,72,14.7697,0.343019,169.731
535388,4188550.0,7104,6443,2,-0.0311324,0.288509,50.9053,176.443,20376,7156,6464,4521,0.149689,11,65,13.7327,0.360636,168.992
535382,4188560.0,7105,6441,2,-0.0117284,0.265491,50.7328,191.091,20376,7157,6464,4521,0.231088,12,74,5.60298,0.331864,172.555
535386,4188560.0,7105,6442,2,-0.0313956,0.280788,50.3082,179.168,20376,7156,6464,4521,0.211895,11,69,14.0627,0.350985,167.136
535388,4188560.0,7105,6443,2,-0.0386732,0.290803,50.4321,173.423,20376,7156,6464,4521,0.186515,12,63,16.7671,0.363504,166.223
535380,4188560.0,7106,6440,2,-0.00943778,0.255913,49.7526,194.412,20376,7157,6464,4521,0.237274,18,68,4.58704,0.319891,170.531
535382,4188560.0,7106,6441,2,-0.00945567,0.273315,49.2989,180.374,20376,7156,6464,4521,0.241908,12,68,4.2639,0.341643,165.355
535386,4188560.0,7106,6442,2,-0.0239384,0.284717,49.6212,174.283,20376,7156,6464,4521,0.238697,10,67,10.4301,0.355896,164.487
535412,4188560.0,7106,6451,2,-0.0186116,0.235766,65.0243,275.8,20376,7178,6482,4558,0.203989,19,97,12.8327,0.294708,235.646
535376,4188560.0,7107,6439,2,-0.0230163,0.248512,48.7485,196.161,20376,7157,6464,4521,0.283156,17,69,11.2873,0.31064,169.122
535380,4188560.0,7107,6440,2,-0.0218398,0.263961,48.3382,183.126,20376,7156,6464,4521,0.256891,10,72,9.99859,0.329951,163.151
535382,4188560.0,7107,6441,2,-0.0131737,0.278992,48.6238,174.284,20376,7156,6464,4521,0.248426,11,66,5.73992,0.34874,162.864
