node,row,col,latitude,longitude,chi,elevation,flow_distance,drainage_area,m_chi,b_chi,source_key,basin_key,segmented_elevation,segment_number
24237740,3416,2963,37.9891971,-122.715865,138.39,399.59,21456.0,1611.0,5.3761,-335.8,364,16,408.22,1332
24244786,3417,2962,37.9891702,-122.715899,138.0,399.12,21452.0,1620.0,5.3761,-335.8,364,16,406.08,1332
24251832,3418,2961,37.9891432,-122.715933,137.6,398.66,21447.0,1629.0,5.3761,-335.8,364,16,403.93,1332
24258878,3419,2960,37.9891163,-122.715968,137.2,398.14,21443.0,5445.0,5.3761,-335.8,364,16,401.79,1332
24265924,3420,2959,37.9890893,-122.716002,136.93,397.62,21439.0,5454.0,5.3761,-335.8,364,16,400.34,1332
24272968,3421,2958,37.9890624,-122.716036,136.66,397.03,21435.0,6174.0,5.3761,-335.8,364,16,398.89,1332
24280011,3422,2957,37.9890354,-122.71607,136.4,396.44,21430.0,6219.0,5.3761,-335.8,364,16,397.49,1332
24280010,3422,2956,37.9890355,-122.716105,136.22,396.03,21427.0,7974.0,5.3761,-335.8,364,16,396.5,1332
24280009,3422,2955,37.9890356,-122.716139,136.05,394.98,21424.0,12987.0,5.3761,-335.8,364,16,395.59,1332
24287052,3423,2954,37.9890086,-122.716173,135.84,394.01,21420.0,14211.0,5.3761,-335.8,364,16,394.49,1332
24294093,3424,2953,37.9889817,-122.716207,135.64,393.44,21416.0,14652.0,5.3761,-335.8,364,16,393.42,1332
24301134,3425,2952,37.9889547,-122.716241,135.45,393.04,21412.0,15291.0,5.3761,-335.8,364,16,392.36,1332
24308174,3426,2951,37.9889277,-122.716276,135.25,392.19,21407.0,15399.0,5.3761,-335.8,364,16,391.32,1332
24315214,3427,2950,37.9889008,-122.71631,135.06,390.57,21403.0,15462.0,5.3761,-335.8,364,16,390.28,1332
24315213,3427,2949,37.9889009,-122.716344,134.92,389.86,21400.0,15849.0,5.3761,-335.8,364,16,389.54,1332
24322252,3428,2948,37.9888739,-122.716378,134.73,389.16,21396.0,17451.0,5.3761,-335.8,364,16,388.51,1332
24329290,3429,2947,37.988847,-122.716413,134.54,388.1,21392.0,18315.0,5.3761,-335.8,364,16,387.5,1332
24329289,3429,2946,37.988847,-122.716447,134.41,387.61,21389.0,18756.0,5.3761,-335.8,364,16,386.81,1332
24336326,3430,2945,37.9888201,-122.716481,134.23,387.14,21384.0,19359.0,5.3761,-335.8,364,16,385.83,1332
24336325,3430,2944,37.9888202,-122.716515,134.1,386.66,21381.0,19548.0,5.3761,-335.8,364,16,385.14,1332
24336324,3430,2943,37.9888203,-122.716549,133.98,386.27,21378.0,19800.0,5.3761,-335.8,364,16,384.46,1332
24343360,3431,2942,37.9887933,-122.716584,133.8,385.77,21374.0,21465.0,5.3761,-335.8,364,16,383.5,1332
24343359,3431,2941,37.9887934,-122.716618,133.67,385.44,21371.0,22041.0,5.3761,-335.8,364,16,382.84,1332
24350395,3432,2940,37.9887664,-122.716652,133.5,385.1,21367.0,22329.0,5.3761,-335.8,364,16,381.91,1332
24350394,3432,2939,37.9887665,-122.716686,133.38,384.52,21364.0,22338.0,5.3761,-335.8,364,16,381.25,1332
24350393,3432,2938,37.9887666,-122.716721,133.26,383.73,21361.0,22347.0,5.3761,-335.8,364,16,380.6,1332
24350392,3432,2937,37.9887667,-122.716755,133.13,382.74,21358.0,22518.0,5.3761,-335.8,364,16,379.94,1332
24350391,3432,2936,37.9887667,-122.716789,133.01,381.59,21355.0,23382.0,5.3761,-335.8,364,16,379.29,1333
24350390,3432,2935,37.9887668,-122.716823,132.89,381.06,21352.0,26253.0,5.3761,-335.8,364,16,378.64,1333
24343352,3431,2934,37.988794,-122.716857,132.73,380.95,21348.0,26505.0,5.3761,-335.8,364,16,377.77,1333
24343351,3431,2933,37.988794,-122.716891,132.61,380.79,21345.0,26541.0,5.3761,-335.8,364,16,377.15,1333
24343350,3431,2932,37.9887941,-122.716925,132.5,379.99,21342.0,26559.0,5.3761,-335.8,364,16,376.53,1333
24343349,3431,2931,37.9887942,-122.71696,132.38,378.87,21339.0,26730.0,5.3761,-335.8,364,16,375.91,1333
24343348,3431,2930,37.9887943,-122.716994,132.27,377.72,21336.0,26793.0,5.3761,-335.8,364,16,375.29,1333
24350384,3432,2929,37.9887673,-122.717028,132.11,376.79,21331.0,26964.0,5.3761,-335.8,364,16,374.42,1333
24350383,3432,2928,37.9887674,-122.717062,131.99,375.74,21328.0,33606.0,5.3761,-335.8,364,16,373.8,1333
24357419,3433,2927,37.9887405,-122.717096,131.84,375.4,21324.0,34011.0,5.3761,-335.8,364,16,372.99,1333
24364455,3434,2926,37.9887135,-122.717131,131.69,375.3,21320.0,34020.0,5.3761,-335.8,364,16,372.18,1333
24371490,3435,2925,37.9886865,-122.717165,131.54,374.15,21316.0,34416.0,5.3761,-335.8,364,16,371.37,1333
24378524,3436,2924,37.9886596,-122.717199,131.39,373.17,21311.0,34479.0,5.3761,-335.8,364,16,370.56,1333
24385558,3437,2923,37.9886326,-122.717233,131.24,372.31,21307.0,34965.0,5.3761,-335.8,364,16,369.76,1333
24392591,3438,2922,37.9886057,-122.717268,131.09,371.35,21303.0,35253.0,5.3761,-335.8,364,16,368.96,1333
24399622,3439,2921,37.9885787,-122.717302,130.94,370.36,21299.0,36171.0,5.3761,-335.8,364,16,368.16,1333
24406652,3440,2920,37.9885518,-122.717336,130.79,369.01,21294.0,36225.0,5.3761,-335.8,364,16,367.36,1333
24413682,3441,2919,37.9885248,-122.717371,130.65,367.29,21290.0,36351.0,5.3761,-335.8,364,16,366.57,1333
24413681,3441,2918,37.9885249,-122.717405,130.54,366.05,21287.0,36459.0,5.3761,-335.8,364,16,366.01,1333
24420711,3442,2917,37.9884979,-122.717439,130.4,363.97,21283.0,38151.0,5.3761,-335.8,364,16,365.22,1333
24420710,3442,2916,37.988498,-122.717473,130.29,363.34,21280.0,38862.0,5.3761,-335.8,364,16,364.67,1333
24427740,3443,2915,37.9884711,-122.717507,130.15,362.3,21276.0,39213.0,5.3761,-335.8,364,16,363.89,1333
24427739,3443,2914,37.9884711,-122.717542,130.05,361.52,21273.0,39474.0,5.3761,-335.8,364,16,363.35,1333
24427738,3443,2913,37.9884712,-122.717576,129.95,361.02,21270.0,39537.0,5.3761,-335.8,364,16,362.8,1333
24434768,3444,2912,37.9884443,-122.71761,129.8,359.93,21266.0,40797.0,5.3761,-335.8,364,16,362.03,1333
24441797,3445,2911,37.9884173,-122.717644,129.66,359.07,21261.0,42201.0,5.3761,-335.8,364,16,361.27,1333
24448826,3446,2910,37.9883903,-122.717679,129.52,358.64,21257.0,42363.0,5.3761,-335.8,364,16,360.51,1333
24448825,3446,2909,37.9883904,-122.717713,129.42,358.23,21254.0,42741.0,5.3761,-335.8,364,16,359.98,1334
24455854,3447,2908,37.9883635,-122.717747,129.28,357.41,21250.0,42786.0,5.3761,-335.8,364,16,359.23,1334
24462882,3448,2907,37.9883365,-122.717781,129.14,356.45,21246.0,43191.0,5.3761,-335.8,364,16,358.47,1334
24469910,3449,2906,37.9883096,-122.717816,129.0,355.41,21241.0,43263.0,5.3761,-335.8,364,16,357.72,1334
24476938,3450,2905,37.9882826,-122.71785,128.86,354.33,21237.0,61758.0,5.3761,-335.8,364,16,356.97,1334
24476937,3450,2904,37.9882827,-122.717884,128.77,353.77,21234.0,62595.0,5.3761,-335.8,364,16,356.5,1334
24476936,3450,2903,37.9882828,-122.717918,128.69,353.55,21231.0,63099.0,5.3761,-335.8,364,16,356.03,1334
24483964,3451,2902,37.9882558,-122.717952,128.56,353.15,21227.0,63162.0,5.3761,-335.8,364,16,355.37,1334
24476934,3450,2901,37.9882829,-122.717986,128.44,351.8,21223.0,63189.0,5.3761,-335.8,364,16,354.7,1334
24476933,3450,2900,37.988283,-122.718021,128.35,350.85,21220.0,63369.0,5.3761,-335.8,364,16,354.23,1334
24476932,3450,2899,37.9882831,-122.718055,128.27,350.26,21217.0,63630.0,5.3761,-335.8,364,16,353.77,1334
24476931,3450,2898,37.9882832,-122.718089,128.18,349.74,21214.0,64764.0,6.3668,-465.62,364,16,350.47,1335
24476930,3450,2897,37.9882833,-122.718123,128.09,349.39,21211.0,65412.0,6.3668,-465.62,364,16,349.92,1335
24483958,3451,2896,37.9882563,-122.718157,127.97,348.92,21206.0,65529.0,6.3668,-465.62,364,16,349.14,1335
24483957,3451,2895,37.9882564,-122.718192,127.88,348.23,21203.0,66060.0,6.3668,-465.62,364,16,348.59,1335
24483956,3451,2894,37.9882565,-122.718226,127.8,347.65,21200.0,66519.0,6.3668,-465.62,364,16,348.04,1335
24483955,3451,2893,37.9882565,-122.71826,127.71,347.61,21197.0,67023.0,6.3668,-465.62,364,16,347.49,1335
24483954,3451,2892,37.9882566,-122.718294,127.63,347.61,21194.0,67257.0,6.3668,-465.62,364,16,346.95,1335
24483953,3451,2891,37.9882567,-122.718328,127.54,347.39,21191.0,67482.0,6.3668,-465.62,364,16,346.4,1335
24490980,3452,2890,37.9882298,-122.718362,127.42,345.24,21187.0,67905.0,6.3668,-465.62,364,16,345.63,1335
24498007,3453,2889,37.9882028,-122.718397,127.3,345.08,21183.0,68274.0,6.3668,-465.62,364,16,344.87,1335
24498006,3453,2888,37.9882029,-122.718431,127.21,343.52,21180.0,68625.0,6.3668,-465.62,364,16,344.32,1335
24505032,3454,2887,37.9881759,-122.718465,127.09,342.75,21176.0,69174.0,6.3668,-465.62,364,16,343.56,1335
